name,time,#nodes,pathlength,horizon,#moves
benchmarkResults/ex/ex1/size5x5/density20/ex1.lp,0.029785815000650473,3,1,5,13
benchmarkResults/ex/ex1/size5x5/density20/ex2.lp,0.3285492470022291,16,5,6,23
benchmarkResults/ex/ex1/size5x5/density20/ex3.lp,0.006758042000001296,2,0,4,11
benchmarkResults/ex/ex1/size5x5/density20/ex4.lp,0.030763613001909107,3,1,4,14
benchmarkResults/ex/ex1/size5x5/density20/ex5.lp,0.05642197899578605,4,2,6,17
benchmarkResults/ex/ex1/size5x5/density20/ex6.lp,0.007628633989952505,2,0,5,16
benchmarkResults/ex/ex1/size5x5/density20/ex7.lp,0.06427423199056648,4,2,6,20
benchmarkResults/ex/ex1/size5x5/density20/ex8.lp,0.2351957719947677,12,4,5,16
benchmarkResults/ex/ex1/size5x5/density20/ex9.lp,0.03190852400439326,3,1,5,16
benchmarkResults/ex/ex1/size5x5/density25/ex1.lp,1.7506156669987831,56,4,7,26
benchmarkResults/ex/ex1/size5x5/density25/ex2.lp,0.5259297209995566,14,5,6,24
benchmarkResults/ex/ex1/size5x5/density25/ex3.lp,0.04174689999490511,3,1,5,18
benchmarkResults/ex/ex1/size5x5/density25/ex4.lp,0.008868231001542881,2,0,5,17
benchmarkResults/ex/ex1/size5x5/density25/ex5.lp,0.18122954400314484,7,4,7,22
benchmarkResults/ex/ex1/size5x5/density25/ex6.lp,0.051147582998964936,3,1,7,18
benchmarkResults/ex/ex1/size5x5/density25/ex7.lp,0.09502212300139945,4,2,5,16
benchmarkResults/ex/ex1/size5x5/density25/ex8.lp,0.16994222700304817,7,4,6,19
benchmarkResults/ex/ex1/size5x5/density25/ex9.lp,0.3181017089955276,12,4,6,20
benchmarkResults/ex/ex1/size5x5/density30/ex1.lp,0.30756431100599,13,3,5,27
benchmarkResults/ex/ex1/size5x5/density30/ex2.lp,0.26658499499899335,11,3,6,27
benchmarkResults/ex/ex1/size5x5/density30/ex3.lp,0.0368397290003486,3,1,6,23
benchmarkResults/ex/ex1/size5x5/density30/ex4.lp,0.2293312420079019,10,4,4,19
benchmarkResults/ex/ex1/size5x5/density30/ex5.lp,0.15924719400936738,7,3,6,19
benchmarkResults/ex/ex1/size5x5/density30/ex6.lp,0.06770315500034485,4,2,5,17
benchmarkResults/ex/ex1/size5x5/density30/ex7.lp,0.09999978200357873,5,2,5,26
benchmarkResults/ex/ex1/size5x5/density30/ex8.lp,0.7145655220083427,29,7,7,28
benchmarkResults/ex/ex1/size5x5/density30/ex9.lp,0.07266097400861327,4,1,6,22
benchmarkResults/ex/ex1/size5x5/density35/ex1.lp,0.07288585900096223,4,1,6,22
benchmarkResults/ex/ex1/size5x5/density35/ex2.lp,1.6690032330079703,63,9,5,27
benchmarkResults/ex/ex1/size5x5/density35/ex3.lp,4.373664175989688,149,6,6,36
benchmarkResults/ex/ex1/size5x5/density35/ex4.lp,79.72354886701214,2281,16,7,25
benchmarkResults/ex/ex1/size5x5/density35/ex5.lp,1.1919052090088371,41,9,7,35
benchmarkResults/ex/ex1/size5x5/density35/ex6.lp,0.8994171749945963,34,6,7,34
benchmarkResults/ex/ex1/size5x5/density35/ex7.lp,2.734109917000751,99,10,6,29
benchmarkResults/ex/ex1/size5x5/density35/ex8.lp,4.692617748005432,169,11,5,29
benchmarkResults/ex/ex1/size5x5/density35/ex9.lp,1.1617855379881803,43,7,6,26
benchmarkResults/ex/ex1/size5x5/density40/ex1.lp,0.12740717599808704,6,2,4,28
benchmarkResults/ex/ex1/size5x5/density40/ex2.lp,0.2797537199949147,11,6,7,39
benchmarkResults/ex/ex1/size5x5/density40/ex3.lp,0.9912900229974184,35,8,5,30
benchmarkResults/ex/ex1/size5x5/density40/ex4.lp,3.2405397159891436,112,17,8,44
benchmarkResults/ex/ex1/size5x5/density40/ex5.lp,0.107642286006012,5,3,6,29
benchmarkResults/ex/ex1/size5x5/density40/ex6.lp,0.33155405000434257,13,5,6,38
benchmarkResults/ex/ex1/size5x5/density40/ex7.lp,2.936071147007169,105,7,7,35
benchmarkResults/ex/ex1/size5x5/density40/ex8.lp
benchmarkResults/ex/ex1/size5x5/density40/ex9.lp,30.72216064100212,1137,11,5,33
benchmarkResults/ex/ex1/size6x6/density20/ex1.lp,69.92805533100909,1247,15,9,33
benchmarkResults/ex/ex1/size6x6/density20/ex2.lp,1.181430950993672,22,8,10,34
benchmarkResults/ex/ex1/size6x6/density20/ex3.lp,0.34292919300787617,9,5,7,26
benchmarkResults/ex/ex1/size6x6/density20/ex4.lp,0.22805857899948023,8,3,5,26
benchmarkResults/ex/ex1/size6x6/density20/ex5.lp,0.34323970100376755,9,5,8,30
benchmarkResults/ex/ex1/size6x6/density20/ex6.lp,0.7670580669946503,17,7,8,32
benchmarkResults/ex/ex1/size6x6/density20/ex7.lp,0.8780764489929425,19,4,9,37
benchmarkResults/ex/ex1/size6x6/density20/ex8.lp,1.1699733300047228,23,8,8,26
benchmarkResults/ex/ex1/size6x6/density20/ex9.lp,0.7496696550078923,17,7,6,36
benchmarkResults/ex/ex1/size6x6/density25/ex1.lp,2.395423945999937,55,9,6,33
benchmarkResults/ex/ex1/size6x6/density25/ex2.lp,0.16960510300123133,5,3,7,31
benchmarkResults/ex/ex1/size6x6/density25/ex3.lp,4.416217598001822,83,6,8,39
benchmarkResults/ex/ex1/size6x6/density25/ex4.lp,0.3356732859974727,10,4,7,35
benchmarkResults/ex/ex1/size6x6/density25/ex5.lp,20.775531873994623,407,16,8,46
benchmarkResults/ex/ex1/size6x6/density25/ex6.lp,1.3081789659918286,27,4,8,53
benchmarkResults/ex/ex1/size6x6/density25/ex7.lp,0.4627928609988885,10,8,8,36
benchmarkResults/ex/ex1/size6x6/density25/ex8.lp,0.232139111001743,6,2,7,43
benchmarkResults/ex/ex1/size6x6/density25/ex9.lp,11.394182366988389,213,20,10,40
benchmarkResults/ex/ex1/size6x6/density30/ex1.lp,10.177536811010214,196,9,9,56
benchmarkResults/ex/ex1/size6x6/density30/ex2.lp
benchmarkResults/ex/ex1/size6x6/density30/ex3.lp
benchmarkResults/ex/ex1/size6x6/density30/ex4.lp,113.9881785359903,2533,14,7,44
benchmarkResults/ex/ex1/size6x6/density30/ex5.lp,1.8015797499974724,34,11,8,53
benchmarkResults/ex/ex1/size6x6/density30/ex6.lp,0.9100264119915664,24,5,7,34
benchmarkResults/ex/ex1/size6x6/density30/ex7.lp,2.9833571190101793,74,9,6,41
benchmarkResults/ex/ex1/size6x6/density30/ex8.lp,0.6917473270004848,15,4,7,29
benchmarkResults/ex/ex1/size6x6/density30/ex9.lp,0.45282409198989626,10,5,7,32
benchmarkResults/ex/ex1/size6x6/density35/ex1.lp,1.2720822900009807,29,10,9,34
benchmarkResults/ex/ex1/size6x6/density35/ex2.lp,276.18797116600035,4946,14,8,62
benchmarkResults/ex/ex1/size6x6/density35/ex3.lp
benchmarkResults/ex/ex1/size6x6/density35/ex4.lp,119.54004988299857,1949,28,9,68
benchmarkResults/ex/ex1/size6x6/density35/ex5.lp,10.80282172698935,239,16,7,49
benchmarkResults/ex/ex1/size6x6/density35/ex6.lp,2.3249783600040246,44,10,8,43
benchmarkResults/ex/ex1/size6x6/density35/ex7.lp
benchmarkResults/ex/ex1/size6x6/density35/ex8.lp
benchmarkResults/ex/ex1/size6x6/density35/ex9.lp,6.3340097360051,118,13,7,54
benchmarkResults/ex/ex1/size6x6/density40/ex1.lp
benchmarkResults/ex/ex1/size6x6/density40/ex2.lp
benchmarkResults/ex/ex1/size6x6/density40/ex3.lp
benchmarkResults/ex/ex1/size6x6/density40/ex4.lp
benchmarkResults/ex/ex1/size6x6/density40/ex5.lp
benchmarkResults/ex/ex1/size6x6/density40/ex6.lp
benchmarkResults/ex/ex1/size6x6/density40/ex7.lp
benchmarkResults/ex/ex1/size6x6/density40/ex8.lp,54.667591422010446,1117,26,7,50
benchmarkResults/ex/ex1/size6x6/density40/ex9.lp
benchmarkResults/ex/ex1/size7x7/density20/ex1.lp,0.2398788870050339,4,2,8,48
benchmarkResults/ex/ex1/size7x7/density20/ex2.lp,1.5284467580058845,20,5,7,42
benchmarkResults/ex/ex1/size7x7/density20/ex3.lp,4.473170269993716,67,12,9,35
benchmarkResults/ex/ex1/size7x7/density20/ex4.lp,3.7891317879984854,35,8,9,50
benchmarkResults/ex/ex1/size7x7/density20/ex5.lp,1.4659699619951425,18,8,10,46
benchmarkResults/ex/ex1/size7x7/density20/ex6.lp,1.5421156939992215,18,6,9,51
benchmarkResults/ex/ex1/size7x7/density20/ex7.lp,0.6564411950093927,9,4,8,51
benchmarkResults/ex/ex1/size7x7/density20/ex8.lp,0.6193854329903843,9,3,8,39
benchmarkResults/ex/ex1/size7x7/density20/ex9.lp,2.2140967800078215,27,7,10,52
benchmarkResults/ex/ex1/size7x7/density25/ex1.lp,0.7681548949913122,11,5,11,45
benchmarkResults/ex/ex1/size7x7/density25/ex2.lp,15.55894922898733,150,14,9,61
benchmarkResults/ex/ex1/size7x7/density25/ex3.lp,2.5266108969954075,47,9,7,46
benchmarkResults/ex/ex1/size7x7/density25/ex4.lp,1.958958322997205,21,6,8,49
benchmarkResults/ex/ex1/size7x7/density25/ex5.lp
benchmarkResults/ex/ex1/size7x7/density25/ex6.lp,9.50327986200864,109,12,9,56
benchmarkResults/ex/ex1/size7x7/density25/ex7.lp,13.05379560799338,160,13,8,53
benchmarkResults/ex/ex1/size7x7/density25/ex8.lp,7.431625459008501,82,8,12,62
benchmarkResults/ex/ex1/size7x7/density25/ex9.lp,2.1699391409929376,24,9,8,61
benchmarkResults/ex/ex1/size7x7/density30/ex1.lp,8.935628210005234,86,17,8,80
benchmarkResults/ex/ex1/size7x7/density30/ex2.lp,132.88110095600132,1409,22,9,64
benchmarkResults/ex/ex1/size7x7/density30/ex3.lp
benchmarkResults/ex/ex1/size7x7/density30/ex4.lp,32.87262672500219,350,20,9,63
benchmarkResults/ex/ex1/size7x7/density30/ex5.lp
benchmarkResults/ex/ex1/size7x7/density30/ex6.lp,6.159380551005597,79,10,8,58
benchmarkResults/ex/ex1/size7x7/density30/ex7.lp,102.56453653000062,1245,13,10,61
benchmarkResults/ex/ex1/size7x7/density30/ex8.lp
benchmarkResults/ex/ex1/size7x7/density30/ex9.lp,62.16284025000641,722,19,10,68
benchmarkResults/ex/ex1/size7x7/density35/ex1.lp
benchmarkResults/ex/ex1/size7x7/density35/ex2.lp
benchmarkResults/ex/ex1/size7x7/density35/ex3.lp
benchmarkResults/ex/ex1/size7x7/density35/ex4.lp
benchmarkResults/ex/ex1/size7x7/density35/ex5.lp,5.256271930004004,64,15,11,72
benchmarkResults/ex/ex1/size7x7/density35/ex6.lp
benchmarkResults/ex/ex1/size7x7/density35/ex7.lp
benchmarkResults/ex/ex1/size7x7/density35/ex8.lp
benchmarkResults/ex/ex1/size7x7/density35/ex9.lp
benchmarkResults/ex/ex1/size7x7/density40/ex1.lp
benchmarkResults/ex/ex1/size7x7/density40/ex2.lp
benchmarkResults/ex/ex1/size7x7/density40/ex3.lp
benchmarkResults/ex/ex1/size7x7/density40/ex4.lp
benchmarkResults/ex/ex1/size7x7/density40/ex5.lp
benchmarkResults/ex/ex1/size7x7/density40/ex6.lp
benchmarkResults/ex/ex1/size7x7/density40/ex7.lp
benchmarkResults/ex/ex1/size7x7/density40/ex8.lp,25.5680308870069,247,32,10,94
benchmarkResults/ex/ex1/size7x7/density40/ex9.lp
benchmarkResults/ex/ex1/size8x8/density20/ex1.lp,1.8052116990002105,15,5,10,72
benchmarkResults/ex/ex1/size8x8/density20/ex2.lp
benchmarkResults/ex/ex1/size8x8/density20/ex3.lp,4.135952152995742,33,8,9,63
benchmarkResults/ex/ex1/size8x8/density20/ex4.lp,20.64630803099135,93,11,12,74
benchmarkResults/ex/ex1/size8x8/density20/ex5.lp,3.4653932159999385,22,9,10,67
benchmarkResults/ex/ex1/size8x8/density20/ex6.lp,1.7018307710095542,12,6,9,62
benchmarkResults/ex/ex1/size8x8/density20/ex7.lp,163.12551663600607,795,16,11,75
benchmarkResults/ex/ex1/size8x8/density20/ex8.lp,1.1092884130048333,8,3,8,71
benchmarkResults/ex/ex1/size8x8/density20/ex9.lp,44.227925015002256,424,13,8,58
benchmarkResults/ex/ex1/size8x8/density25/ex1.lp,155.36253504399792,799,21,10,94
benchmarkResults/ex/ex1/size8x8/density25/ex2.lp
